id,season,city,match_type,player_of_match,team1,team2,winner,result_margin,target_runs,super_over
264,2012,Mumbai,League,S Nadeem,Mumbai Indians,Delhi Capitals,Delhi Capitals,7,93,N
265,2012,Jaipur,League,BJ Hodge,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,5,197,N
266,2012,Bangalore,League,CH Gayle,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,6,183,N
267,2012,Chandigarh,League,G Gambhir,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,8,125,N
268,2012,Delhi,League,KP Pietersen,Delhi Capitals,Deccan Chargers,Delhi Capitals,5,158,N
269,2012,Chennai,League,KMDN Kulasekara,Chennai Super Kings,Pune Warriors,Chennai Super Kings,13,165,N
270,2012,Chandigarh,League,CH Gayle,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,5,164,N
271,2012,Chennai,League,F du Plessis,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,7,147,N
272,2012,Delhi,League,SC Ganguly,Delhi Capitals,Pune Warriors,Pune Warriors,20,193,N
273,2012,Mumbai,League,SE Marsh,Mumbai Indians,Punjab Kings,Punjab Kings,6,164,N
274,2012,Cuttack,League,B Lee,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,5,127,N
275,2012,Jaipur,League,AB de Villiers,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,46,190,N
276,2012,Pune,League,V Sehwag,Pune Warriors,Delhi Capitals,Delhi Capitals,8,147,N
277,2012,Chandigarh,League,AT Rayudu,Punjab Kings,Mumbai Indians,Mumbai Indians,4,169,N
278,2012,Pune,League,CL White,Pune Warriors,Deccan Chargers,Deccan Chargers,18,178,N
279,2012,Delhi,League,V Sehwag,Delhi Capitals,Mumbai Indians,Delhi Capitals,37,208,N
280,2012,Chennai,League,Mandeep Singh,Chennai Super Kings,Punjab Kings,Punjab Kings,7,157,N
281,2012,Kolkata,League,G Gambhir,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,47,191,N
282,2012,Delhi,League,V Sehwag,Delhi Capitals,Rajasthan Royals,Delhi Capitals,1,153,N
283,2012,Mumbai,League,DW Steyn,Mumbai Indians,Deccan Chargers,Mumbai Indians,5,101,N
284,2012,Chennai,League,G Gambhir,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,5,140,N
285,2012,Cuttack,League,KC Sangakkara,Deccan Chargers,Pune Warriors,Deccan Chargers,13,187,N
286,2012,Jaipur,League,P Negi,Rajasthan Royals,Delhi Capitals,Delhi Capitals,6,142,N
287,2012,Bangalore,League,Azhar Mahmood,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,4,159,N
288,2012,Pune,League,SL Malinga,Pune Warriors,Mumbai Indians,Mumbai Indians,1,121,N
289,2012,Chennai,League,SK Raina,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,10,161,N
290,2012,Kolkata,League,SP Narine,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,7,151,N
291,2012,Chandigarh,League,SR Watson,Punjab Kings,Rajasthan Royals,Rajasthan Royals,43,178,N
292,2012,Mumbai,League,DR Smith,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2,174,N
293,2012,Bangalore,League,AB de Villiers,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,5,182,N
294,2012,Delhi,League,JH Kallis,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,6,154,N
295,2012,Pune,League,SR Watson,Pune Warriors,Rajasthan Royals,Rajasthan Royals,7,126,N
296,2012,Hyderabad,League,Mandeep Singh,Deccan Chargers,Punjab Kings,Punjab Kings,25,171,N
297,2012,Mumbai,League,CH Gayle,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,9,142,N
298,2012,Hyderabad,League,DA Warner,Deccan Chargers,Delhi Capitals,Delhi Capitals,9,188,N
