id,season,city,match_type,player_of_match,team1,team2,winner,result_margin,target_runs,super_over
1018,2024,Chennai,League,Simarjeet Singh,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,5,142,N
1019,2024,Bengaluru,League,C Green,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,47,188,N
1020,2024,Delhi,League,I Sharma,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,19,209,N
1021,2024,Guwahati,League,SM Curran,Rajasthan Royals,Punjab Kings,Punjab Kings,5,145,N
1022,2024,Mumbai,League,N Pooran,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,18,215,N
1023,2024,Bengaluru,League,F du Plessis,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,27,219,N
1024,2024,Hyderabad,League,Abhishek Sharma,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,4,215,N
1025,2024,Ahmedabad,Qualifier 1,MA Starc,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,8,160,N
1026,2024,Ahmedabad,Eliminator,R Ashwin,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,4,173,N
1027,2024,Chennai,Qualifier 2,Shahbaz Ahmed,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,36,176,N
1028,2024,Chennai,Final,MA Starc,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,8,114,N
